wo_id,asset_description_raw,long_text,maintenance_type,cost_usd,labor_hours,linked_event_id,standard_asset_id_truth
WO-00148,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,11938.47,7.2,EVT-DRAFT-20230513-05,STS-U1-IDF-A
WO-00149,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,7188.28,31.9,EVT-DRAFT-20240512-16,STS-U1-IDF-A
WO-00150,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,7682.61,20.6,EVT-DRAFT-20231230-11,STS-U1-IDF-A
WO-00151,CW pump cavit,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Corrective,3799.97,40.7,EVT-2024-03-CW-CONSTR,STS-U1-CWP-2
WO-00152,BRG2 VIB,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,4264.6,15.4,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
WO-00153,CW pump cavit,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Corrective,5778.38,31.9,EVT-2024-03-CW-CONSTR,STS-U1-CWP-2
WO-00154,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,16713.3,32.9,EVT-DRAFT-20240112-13,STS-U1-IDF-A
WO-00155,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,3304.46,16.7,,STS-U1-IDF-A
WO-00156,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,6946.45,4.0,EVT-DRAFT-20230303-01,STS-U1-IDF-A
WO-00157,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,8922.41,9.3,EVT-DRAFT-20240531-17,STS-U1-IDF-A
WO-00158,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,2490.56,35.0,EVT-DRAFT-20240830-22,STS-U1-IDF-A
WO-00159,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,18010.76,29.3,EVT-DRAFT-20230309-03,STS-U1-IDF-A
WO-00160,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,1919.95,28.8,EVT-DRAFT-20230305-02,STS-U1-IDF-A
WO-00161,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,14172.93,11.6,EVT-DRAFT-20240701-19,STS-U1-IDF-A
WO-00162,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,7426.23,31.0,EVT-DRAFT-20241130-25,STS-U1-IDF-A
WO-00163,Mill3 trip,"Mill 3 current spike/trip; check moisture, feeder calibration, classifier, rejects.",Preventive,6755.12,15.5,EVT-2023-03-MILLTRIP,STS-U1-MILL-3
WO-00164,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,15533.06,11.4,EVT-DRAFT-20240830-22,STS-U1-IDF-A
WO-00165,CW pump cavit,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Corrective,5142.79,38.4,,STS-U1-CWP-2
WO-00166,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,7716.33,6.5,,STS-U1-IDF-A
WO-00167,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,7210.13,15.8,EVT-DRAFT-20241219-26,STS-U1-IDF-A
WO-00168,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,4132.92,19.9,EVT-DRAFT-20240902-23,STS-U1-IDF-A
WO-00169,AIR PREHEATER clog,APH DP elevated; recommend cleaning/seal inspection; review sootblowing.,Corrective,5563.11,38.7,,STS-U1-APH-1
WO-00170,TB brg2 vib hi,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,4853.57,44.6,,STS-U1-TB-BRG2
WO-00171,APH DP high,APH DP elevated; recommend cleaning/seal inspection; review sootblowing.,Preventive,8962.22,22.4,,STS-U1-APH-1
WO-00172,Pulverizer-3 current spike,"Mill 3 current spike/trip; check moisture, feeder calibration, classifier, rejects.",Corrective,16140.31,23.7,EVT-2024-07-WETCOAL,STS-U1-MILL-3
WO-00173,BRG2 VIB,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,2118.99,11.7,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
WO-00174,TB brg2 vib hi,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,7161.23,26.5,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
WO-00175,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,9183.72,36.8,EVT-DRAFT-20240531-17,STS-U1-IDF-A
WO-00176,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,16427.79,23.9,EVT-DRAFT-20240701-19,STS-U1-IDF-A
WO-00177,Mill3 trip,"Mill 3 current spike/trip; check moisture, feeder calibration, classifier, rejects.",Corrective,3208.81,38.1,,STS-U1-MILL-3
WO-00178,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,13640.43,23.6,EVT-DRAFT-20231230-11,STS-U1-IDF-A
WO-00179,CWP-2 low suction,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Preventive,9728.99,25.0,,STS-U1-CWP-2
WO-00180,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,7470.09,46.9,EVT-DRAFT-20240902-23,STS-U1-IDF-A
WO-00181,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,34722.1,15.0,EVT-DRAFT-20240720-20,STS-U1-IDF-A
WO-00182,PF mill three feeder issue,"Mill 3 current spike/trip; check moisture, feeder calibration, classifier, rejects.",Corrective,4176.23,11.9,EVT-2024-07-WETCOAL,STS-U1-MILL-3
WO-00183,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,4533.0,4.5,EVT-DRAFT-20230309-03,STS-U1-IDF-A
WO-00184,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,16969.76,18.9,EVT-DRAFT-20241106-24,STS-U1-IDF-A
WO-00185,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,9570.16,9.6,EVT-DRAFT-20231104-08,STS-U1-IDF-A
WO-00186,Air preheater fouling,APH DP elevated; recommend cleaning/seal inspection; review sootblowing.,Corrective,8406.29,39.0,,STS-U1-APH-1
WO-00187,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,6226.34,5.2,EVT-DRAFT-20230303-01,STS-U1-IDF-A
WO-00188,BRG2 VIB,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Preventive,6548.47,43.9,,STS-U1-TB-BRG2
WO-00189,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,13077.86,24.0,EVT-2023-09-PM1,STS-U1-SH-OUT
WO-00190,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,4662.81,9.9,EVT-DRAFT-20241106-24,STS-U1-IDF-A
WO-00191,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,4225.58,22.7,EVT-DRAFT-20231108-09,STS-U1-IDF-A
WO-00192,APH DP high,APH DP elevated; recommend cleaning/seal inspection; review sootblowing.,Corrective,10595.09,42.0,,STS-U1-APH-1
WO-00193,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,11051.84,43.0,EVT-DRAFT-20240112-13,STS-U1-IDF-A
WO-00194,PF mill three feeder issue,"Mill 3 current spike/trip; check moisture, feeder calibration, classifier, rejects.",Corrective,9274.58,12.6,,STS-U1-MILL-3
WO-00195,CWP-2 low suction,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Corrective,13865.4,30.8,,STS-U1-CWP-2
WO-00196,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,22999.49,29.9,EVT-2024-09-PM2,STS-U1-CTF-BANK1
WO-00197,Condenser pump B noise,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Corrective,13956.07,44.7,,STS-U1-CWP-2
WO-00198,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,18612.93,36.8,EVT-DRAFT-20231108-09,STS-U1-IDF-A
WO-00199,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,9733.96,44.1,,STS-U1-IDF-A
WO-00200,APH DP high,APH DP elevated; recommend cleaning/seal inspection; review sootblowing.,Preventive,15372.82,9.0,,STS-U1-APH-1
WO-00201,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,4375.66,38.4,EVT-DRAFT-20240612-18,STS-U1-IDF-A
WO-00202,TB brg2 vib hi,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,6433.64,12.4,,STS-U1-TB-BRG2
WO-00203,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,4004.18,35.1,EVT-DRAFT-20240415-15,STS-U1-IDF-A
WO-00204,Draft fan #1 oscill,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,25102.19,32.6,EVT-DRAFT-20240902-23,STS-U1-IDF-A
WO-00205,turbine bearing 2 vibration,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,18521.35,9.5,EVT-2023-02-TB-VIB,STS-U1-TB-BRG2
WO-00206,Condenser pump B noise,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Corrective,10152.05,21.9,,STS-U1-CWP-2
WO-00207,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,30846.92,41.7,EVT-2023-05-TUBELEAK,STS-U1-SH-OUT
WO-00208,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,3069.6,11.6,EVT-DRAFT-20230303-01,STS-U1-IDF-A
WO-00209,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,1547.22,39.7,EVT-2024-06-AUXDRIFT,STS-U1-CTF-BANK1
WO-00210,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,7922.88,43.6,,STS-U1-IDF-A
WO-00211,turbine bearing 2 vibration,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Preventive,4646.85,36.6,,STS-U1-TB-BRG2
WO-00212,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,2325.2,30.1,EVT-DRAFT-20240701-19,STS-U1-IDF-A
WO-00213,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,18263.08,20.2,EVT-DRAFT-20231230-11,STS-U1-IDF-A
WO-00214,IDF-A spd var,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,25781.51,23.4,EVT-DRAFT-20230309-03,STS-U1-IDF-A
WO-00215,Condenser pump B noise,CW pump cavitation suspected; inspect strainer/valves; review NPSH.,Preventive,8939.33,13.7,,STS-U1-CWP-2
WO-00216,Pulverizer-3 current spike,"Mill 3 current spike/trip; check moisture, feeder calibration, classifier, rejects.",Preventive,14714.43,6.5,,STS-U1-MILL-3
WO-00217,IDF A damper sat,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Preventive,5412.76,35.9,,STS-U1-IDF-A
WO-00218,APH DP high,APH DP elevated; recommend cleaning/seal inspection; review sootblowing.,Corrective,5273.44,43.1,,STS-U1-APH-1
WO-00219,Induced draft fan hunting,Unstable furnace draft control; ID fan variance; damper saturation near 98–100%. Verify tuning and DP transmitter.,Corrective,35283.95,30.7,EVT-DRAFT-20231230-11,STS-U1-IDF-A
WO-00220,TB brg2 vib hi,BRG2 vibration exceeded alert; spectrum check; verify oil/alignment.,Corrective,16480.62,20.3,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
