log_id,shift_start,shift_end,operator_role,free_text,linked_event_id,standard_asset_id_truth
LOG-00149,2023-03-14T00:00:00Z,2023-03-14T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240512-16,STS-U1-IDF-A
LOG-00150,2024-10-10T12:00:00Z,2024-10-11T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230305-02,STS-U1-IDF-A
LOG-00151,2023-02-03T12:00:00Z,2023-02-04T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00152,2024-03-09T12:00:00Z,2024-03-10T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20231104-08,STS-U1-IDF-A
LOG-00153,2024-06-23T00:00:00Z,2024-06-23T12:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20241106-24,STS-U1-IDF-A
LOG-00154,2023-01-19T12:00:00Z,2023-01-20T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20241219-26,STS-U1-IDF-A
LOG-00155,2024-08-15T12:00:00Z,2024-08-16T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230524-06,STS-U1-IDF-A
LOG-00156,2024-02-02T00:00:00Z,2024-02-02T12:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20241130-25,STS-U1-IDF-A
LOG-00157,2023-09-09T00:00:00Z,2023-09-09T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231108-09,STS-U1-IDF-A
LOG-00158,2024-09-01T00:00:00Z,2024-09-01T12:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2024-09-PM2,STS-U1-CTF-BANK1
LOG-00159,2023-10-15T00:00:00Z,2023-10-15T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00160,2023-10-26T00:00:00Z,2023-10-26T12:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-09-PM1,STS-U1-SH-OUT
LOG-00161,2023-04-14T00:00:00Z,2023-04-14T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240106-12,STS-U1-IDF-A
LOG-00162,2024-07-19T12:00:00Z,2024-07-20T00:00:00Z,Control Room Operator,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00163,2024-01-02T00:00:00Z,2024-01-02T12:00:00Z,Shift Supervisor,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00164,2023-06-26T12:00:00Z,2023-06-27T00:00:00Z,Control Room Operator,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00165,2023-09-25T12:00:00Z,2023-09-26T00:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2023-07-WETCOAL,STS-U1-MILL-3
LOG-00166,2023-05-16T00:00:00Z,2023-05-16T12:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00167,2024-10-18T12:00:00Z,2024-10-19T00:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00168,2024-11-05T12:00:00Z,2024-11-06T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00169,2023-02-08T12:00:00Z,2023-02-09T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-BOI-FURNACE
LOG-00170,2023-07-01T12:00:00Z,2023-07-02T00:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00171,2024-03-02T12:00:00Z,2024-03-03T00:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2024-09-PM2,STS-U1-CTF-BANK1
LOG-00172,2023-08-23T00:00:00Z,2023-08-23T12:00:00Z,Shift Supervisor,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00173,2023-06-17T12:00:00Z,2023-06-18T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231123-10,STS-U1-IDF-A
LOG-00174,2023-11-22T00:00:00Z,2023-11-22T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240612-18,STS-U1-IDF-A
LOG-00175,2023-09-02T00:00:00Z,2023-09-02T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230303-01,STS-U1-IDF-A
LOG-00176,2024-04-24T12:00:00Z,2024-04-25T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240112-13,STS-U1-IDF-A
LOG-00177,2023-12-29T00:00:00Z,2023-12-29T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240724-21,STS-U1-IDF-A
LOG-00178,2024-08-22T12:00:00Z,2024-08-23T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00179,2023-11-11T00:00:00Z,2023-11-11T12:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00180,2023-09-06T00:00:00Z,2023-09-06T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20241219-26,STS-U1-IDF-A
LOG-00181,2024-03-04T00:00:00Z,2024-03-04T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240531-17,STS-U1-IDF-A
LOG-00182,2024-02-04T00:00:00Z,2024-02-04T12:00:00Z,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00183,2024-11-06T00:00:00Z,2024-11-06T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-IDF-A
LOG-00184,2023-10-27T12:00:00Z,2023-10-28T00:00:00Z,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00185,2023-06-12T12:00:00Z,2023-06-13T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240724-21,STS-U1-IDF-A
LOG-00186,2023-04-28T00:00:00Z,2023-04-28T12:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00187,2024-04-17T00:00:00Z,2024-04-17T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00188,2023-12-22T00:00:00Z,2023-12-22T12:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00189,2024-05-14T12:00:00Z,2024-05-15T00:00:00Z,Control Room Operator,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00190,2024-08-19T12:00:00Z,2024-08-20T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-BOI-FURNACE
LOG-00191,2024-05-22T00:00:00Z,2024-05-22T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-BOI-FURNACE
LOG-00192,2024-04-21T12:00:00Z,2024-04-22T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240724-21,STS-U1-IDF-A
LOG-00193,2023-12-05T12:00:00Z,2023-12-06T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2024-07-WETCOAL,STS-U1-MILL-3
LOG-00194,2023-04-28T12:00:00Z,2023-04-29T00:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00195,2023-03-13T00:00:00Z,2023-03-13T12:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00196,2023-02-04T12:00:00Z,2023-02-05T00:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00197,2024-11-17T12:00:00Z,2024-11-18T00:00:00Z,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
LOG-00198,2023-09-17T00:00:00Z,2023-09-17T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-IDF-A
LOG-00199,2023-09-20T00:00:00Z,2023-09-20T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00200,2023-10-28T00:00:00Z,2023-10-28T12:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-03-MILLTRIP,STS-U1-MILL-3
LOG-00201,2023-07-09T00:00:00Z,2023-07-09T12:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20241106-24,STS-U1-IDF-A
LOG-00202,2024-07-02T00:00:00Z,2024-07-02T12:00:00Z,Shift Supervisor,Cooling constraint suspected; CW pump noise noted; held load.,,STS-U1-CND
LOG-00203,2023-06-06T12:00:00Z,2023-06-07T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240902-23,STS-U1-IDF-A
LOG-00204,2023-11-01T12:00:00Z,2023-11-02T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-03-MILLTRIP,STS-U1-MILL-3
LOG-00205,2023-06-20T12:00:00Z,2023-06-21T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240830-22,STS-U1-IDF-A
LOG-00206,2023-08-30T12:00:00Z,2023-08-31T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00207,2023-05-28T12:00:00Z,2023-05-29T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240512-16,STS-U1-IDF-A
LOG-00208,2023-06-05T00:00:00Z,2023-06-05T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240902-23,STS-U1-IDF-A
LOG-00209,2024-11-20T12:00:00Z,2024-11-21T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00210,2023-12-25T00:00:00Z,2023-12-25T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240112-13,STS-U1-IDF-A
LOG-00211,2024-03-23T00:00:00Z,2024-03-23T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00212,2024-02-10T00:00:00Z,2024-02-10T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00213,2023-01-14T00:00:00Z,2023-01-14T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240531-17,STS-U1-IDF-A
LOG-00214,2024-09-19T12:00:00Z,2024-09-20T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00215,2023-02-11T00:00:00Z,2023-02-11T12:00:00Z,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00216,2023-07-01T12:00:00Z,2023-07-02T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2023-09-PM1,STS-U1-SH-OUT
LOG-00217,2024-12-15T00:00:00Z,2024-12-15T12:00:00Z,Control Room Operator,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,EVT-2024-02-TB-VIB,STS-U1-TB-BRG2
LOG-00218,2024-12-27T00:00:00Z,2024-12-27T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240512-16,STS-U1-IDF-A
LOG-00219,2023-11-29T12:00:00Z,2023-11-30T00:00:00Z,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00220,2024-07-10T12:00:00Z,2024-07-11T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
LOG-00221,2023-08-01T00:00:00Z,2023-08-01T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00222,2024-01-31T00:00:00Z,2024-01-31T12:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2023-09-PM1,STS-U1-SH-OUT
LOG-00223,2023-11-11T12:00:00Z,2023-11-12T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00224,2024-07-01T00:00:00Z,2024-07-01T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-IDF-A
LOG-00225,2023-11-05T12:00:00Z,2023-11-06T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240830-22,STS-U1-IDF-A
LOG-00226,2023-01-22T00:00:00Z,2023-01-22T12:00:00Z,Control Room Operator,BRG2 crossed alert briefly; checked lube oil; stabilized.,EVT-2023-02-TB-VIB,STS-U1-TB-BRG2
LOG-00227,2023-08-23T12:00:00Z,2023-08-24T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00228,2023-04-24T00:00:00Z,2023-04-24T12:00:00Z,Shift Supervisor,BRG2 crossed alert briefly; checked lube oil; stabilized.,,STS-U1-TB-BRG2
LOG-00229,2024-02-25T00:00:00Z,2024-02-25T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240112-13,STS-U1-IDF-A
LOG-00230,2024-04-29T12:00:00Z,2024-04-30T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20230524-06,STS-U1-IDF-A
LOG-00231,2023-06-06T12:00:00Z,2023-06-07T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240408-14,STS-U1-IDF-A
LOG-00232,2023-11-02T12:00:00Z,2023-11-03T00:00:00Z,Control Room Operator,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20240720-20,STS-U1-IDF-A
LOG-00233,2024-07-29T12:00:00Z,2024-07-30T00:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-IDF-A
LOG-00234,2024-11-16T12:00:00Z,2024-11-17T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,,STS-U1-BOI-FURNACE
LOG-00235,2023-08-18T00:00:00Z,2023-08-18T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230309-03,STS-U1-IDF-A
LOG-00236,2024-05-05T12:00:00Z,2024-05-06T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00237,2023-01-16T00:00:00Z,2023-01-16T12:00:00Z,Control Room Operator,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2023-05-TUBELEAK,STS-U1-SH-OUT
LOG-00238,2023-10-14T00:00:00Z,2023-10-14T12:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00239,2024-06-12T00:00:00Z,2024-06-12T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-BOI-FURNACE
LOG-00240,2023-05-28T12:00:00Z,2023-05-29T00:00:00Z,Control Room Operator,Mill trip reset; restarted after checks; ramped cautiously.,,STS-U1-MILL-3
LOG-00241,2023-10-29T12:00:00Z,2023-10-30T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2023-07-WETCOAL,STS-U1-MILL-3
LOG-00242,2024-10-04T12:00:00Z,2024-10-05T00:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20231108-09,STS-U1-IDF-A
LOG-00243,2024-11-10T12:00:00Z,2024-11-11T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230305-02,STS-U1-IDF-A
LOG-00244,2023-07-29T00:00:00Z,2023-07-29T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,,STS-U1-IDF-A
LOG-00245,2024-03-10T12:00:00Z,2024-03-11T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20240902-23,STS-U1-IDF-A
LOG-00246,2023-05-13T12:00:00Z,2023-05-14T00:00:00Z,Control Room Operator,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00247,2024-05-16T12:00:00Z,2024-05-17T00:00:00Z,Shift Supervisor,BRG2 vibration trending high; kept ramp conservative; requested spectrum.,,STS-U1-TB-BRG2
LOG-00248,2024-12-19T12:00:00Z,2024-12-20T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,EVT-2024-06-AUXDRIFT,STS-U1-CTF-BANK1
LOG-00249,2023-10-07T00:00:00Z,2023-10-07T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240830-22,STS-U1-IDF-A
LOG-00250,2024-04-28T00:00:00Z,2024-04-28T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230305-02,STS-U1-IDF-A
LOG-00251,2023-03-15T00:00:00Z,2023-03-15T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20230927-07,STS-U1-IDF-A
LOG-00252,2023-03-28T00:00:00Z,2023-03-28T12:00:00Z,Control Room Operator,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00253,2023-01-01T12:00:00Z,2023-01-02T00:00:00Z,Shift Supervisor,Mill trip reset; restarted after checks; ramped cautiously.,EVT-2024-09-PM2,STS-U1-CTF-BANK1
LOG-00254,2023-01-25T00:00:00Z,2023-01-25T12:00:00Z,Shift Supervisor,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240531-17,STS-U1-IDF-A
LOG-00255,2023-09-08T00:00:00Z,2023-09-08T12:00:00Z,Control Room Operator,Draft loop sluggish; applied manual bias; staged ramps.,EVT-DRAFT-20240415-15,STS-U1-IDF-A
LOG-00256,2023-08-10T00:00:00Z,2023-08-10T12:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,,STS-U1-BOI-FURNACE
LOG-00257,2023-12-08T12:00:00Z,2023-12-09T00:00:00Z,Shift Supervisor,Mill current spikes; coal wet; adjusted feeder; watched stability.,,STS-U1-MILL-3
LOG-00258,2024-08-24T12:00:00Z,2024-08-25T00:00:00Z,Shift Supervisor,Furnace draft oscillating; IDF hunting; damper near full open; reduced load.,EVT-DRAFT-20230403-04,STS-U1-IDF-A
LOG-00259,2023-05-16T12:00:00Z,2023-05-17T00:00:00Z,Shift Supervisor,Condenser temp elevated; vacuum degraded; limited load to protect vacuum.,,STS-U1-CND
LOG-00260,2024-12-13T12:00:00Z,2024-12-14T00:00:00Z,Shift Supervisor,Draft variance increased; O2 trim unstable; watched ID fan response.,EVT-DRAFT-20231230-11,STS-U1-IDF-A
